City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
509,tarauaca,-8.1614,-70.7656,26.38,66,92,0.29,BR,1723084808
510,chinde,26.8212,87.7095,26.36,82,99,1.01,NP,1723084809
511,timbuktu,16.7735,-3.0074,30.18,61,100,10.22,ML,1723084810
512,mar del plata,-38.0023,-57.5575,9.49,91,100,10.28,AR,1723084513
513,great falls,47.5002,-111.3008,16.66,79,75,2.57,US,1723084812
514,sinop,41.7711,34.8709,15.44,90,0,1.26,TR,1723084814
515,lazaro cardenas,17.9583,-102.2,28.11,80,100,3.49,MX,1723084727
516,robore,-18.3333,-59.75,19.06,92,95,1.54,BO,1723084817
517,osa,57.2829,55.4567,15.24,87,100,4.43,RU,1723084818
518,cill airne,52.05,-9.5167,14.95,98,100,1.53,IE,1723084781
519,kukawa,12.9234,13.5606,24.4,86,100,4.95,NG,1723084820
520,camabatela,-8.1881,15.375,14.0,93,81,1.79,AO,1723084822
521,torrevieja,37.9787,-0.6822,27.12,71,1,3.11,ES,1723084594
522,gizo,-8.103,156.8419,27.58,79,98,6.06,SB,1723084824
523,saint-joseph,-21.3667,55.6167,18.21,77,11,3.15,RE,1723084825
524,morehead city,34.7229,-76.726,29.0,87,40,6.69,US,1723084573
525,karachi,24.9056,67.0822,28.9,74,75,4.12,PK,1723084827
526,maamba,-17.3667,27.15,15.61,52,0,1.29,ZM,1723084828
527,noyabrsk,63.1994,75.4507,10.76,75,100,5.24,RU,1723084829
528,alaghsas,17.0187,8.0168,27.32,59,46,3.2,NE,1723084830
529,eyl,7.9803,49.8164,24.92,78,88,9.16,SO,1723084832
530,tumut,-35.3,148.2167,15.22,52,43,2.77,AU,1723084833
531,gamba,-2.65,10.0,21.92,89,99,0.8,GA,1723084834
532,saint croix,17.7397,-64.7388,27.25,81,0,2.57,VI,1723084835
533,zeya,53.75,127.2667,23.23,64,95,3.1,RU,1723084836
534,patterson,37.4716,-121.1297,34.99,36,0,1.91,US,1723084837
535,pisco,-13.7,-76.2167,17.03,77,100,0.51,PE,1723084838
536,barcelona,41.3888,2.159,26.48,64,0,3.09,ES,1723084645
537,guelendeng,10.9176,15.5501,23.89,88,100,2.25,TD,1723084841
538,fale old settlement,-9.3852,-171.2468,27.75,73,94,8.74,TK,1723084837
539,jesup,31.6074,-81.8854,26.3,83,40,2.57,US,1723084843
540,borogontsy,62.6683,131.1683,20.97,43,9,1.4,RU,1723084845
541,guymon,36.6828,-101.4816,29.0,39,0,2.06,US,1723084846
542,independence,39.0911,-94.4155,25.16,71,0,2.41,US,1723084847
543,rabigh,22.7986,39.0349,31.14,71,67,1.58,SA,1723084848
544,burutu,5.3509,5.5076,24.7,84,100,3.98,NG,1723084849
545,larache,35.1932,-6.1557,21.24,87,1,3.36,MA,1723084851
546,sarykemer,43.0,71.5,24.71,17,0,0.99,KZ,1723084852
547,stolbovaya,55.2528,37.4853,17.92,97,100,1.84,RU,1723084853
548,koronowo,53.3137,17.937,18.26,90,100,2.11,PL,1723084854
549,chimbote,-9.0853,-78.5783,16.62,87,81,3.19,PE,1723084844
550,thunder bay,48.4001,-89.3168,19.99,68,100,6.69,CA,1723084629
551,tofol,5.3248,163.0078,28.96,71,54,4.24,FM,1723084857
552,vila velha,-20.3297,-40.2925,22.97,88,0,3.09,BR,1723084792
553,rongelap,11.1635,166.8941,28.35,76,100,4.66,MH,1723084859
554,mercedes,-34.6515,-59.4307,8.25,79,48,6.48,AR,1723084861
555,pitanga,-24.7572,-51.7614,15.69,78,77,2.54,BR,1723084862
556,dibrugarh,27.4833,94.9,27.03,94,100,0.0,IN,1723084863
557,humberto de campos,-2.5983,-43.4611,23.88,84,92,1.82,BR,1723084864
